Month,Caesars VADER,Caesars TextBlob,Caesars n_reviews,Caesars confidence,MGM VADER,MGM TextBlob,MGM n_reviews,MGM confidence,Caesars signal,MGM signal
2023-03,0.591825,0.2624565596440597,4.0,low - treat with caution,0.62275,0.26165093228553044,20.0,medium,aligned,aligned
2024-03,0.4214235294117647,0.1345442161477804,17.0,medium,0.5023970588235294,0.21270175271455882,34.0,high,aligned,aligned
2025-03,0.08975111111111111,0.07929169065213672,45.0,high,0.39050833333333335,0.15816262036686785,84.0,high,aligned,aligned
2025-04,0.06137500000000001,0.13695485886662356,4.0,low - treat with caution,0.49356363636363637,0.17307516037514287,11.0,medium,aligned,aligned
2025-05,0.9909500000000001,0.24619879355250873,6.0,low - treat with caution,0.5132125,0.3148274813271524,8.0,low - treat with caution,aligned,aligned
2025-06,0.8419,0.10915498381370094,4.0,low - treat with caution,0.6645916666666667,0.17192820570823386,12.0,medium,aligned,aligned
2025-07,0.472075,0.1410470348765739,4.0,low - treat with caution,0.8651272727272726,0.3523502754919867,11.0,medium,aligned,aligned
2025-08,0.30163333333333336,0.08206066354602941,6.0,low - treat with caution,0.63486,0.2209442030390798,20.0,medium,aligned,aligned
2025-09,0.530721052631579,0.15454721114987952,19.0,medium,0.1048222222222222,0.101582975666309,9.0,low - treat with caution,aligned,aligned
2025-10,0.29412916666666666,0.08759155153394842,24.0,medium,0.39498421052631577,0.16512385726604661,19.0,medium,aligned,aligned
2025-11,0.37333809523809525,0.14336484792780715,21.0,medium,0.49075,0.16458724784358983,24.0,medium,aligned,aligned
2025-12,0.455975,0.19899069304520656,16.0,medium,0.417532,0.11367182648126727,25.0,medium,aligned,aligned
2026-01,0.38815641025641023,0.11643533893988985,39.0,high,0.40354146341463415,0.16153044652308618,82.0,high,aligned,aligned
2026-02,0.3216198347107438,0.1167342142046166,121.0,high,0.4118592105263158,0.15692109280559263,152.0,high,aligned,aligned
2026-03,0.41332857142857143,0.12698423610905712,14.0,medium,0.36244444444444446,0.17960985244044456,18.0,medium,aligned,aligned
