brand,month,vader_score,textblob_score,n_reviews,confidence_flag,conflicting_signal
Caesars Entertainment,2022-01,0.4871076086956521,0.3904515936721656,92,high,False
Caesars Entertainment,2022-02,0.41785454545454553,0.3571000230398059,88,high,False
Caesars Entertainment,2022-03,0.3425090909090909,0.30729860692052186,66,high,False
Caesars Entertainment,2022-04,0.5118618181818182,0.33029179784861606,55,high,False
Caesars Entertainment,2022-05,0.3385413043478261,0.24927054577869798,46,high,False
Caesars Entertainment,2022-06,0.3964951219512196,0.2941854791549913,41,high,False
Caesars Entertainment,2022-07,0.554651282051282,0.4330634690744985,39,high,False
Caesars Entertainment,2022-08,0.4122571428571429,0.30199508907098194,42,high,False
Caesars Entertainment,2022-09,0.37215,0.2564329304954305,18,medium,False
Caesars Entertainment,2022-10,0.4515076923076924,0.3454175251831502,13,medium,False
Caesars Entertainment,2022-11,0.5759148148148148,0.40916044399514556,81,high,False
Caesars Entertainment,2022-12,0.5234030769230769,0.48237500000000005,65,high,False
Caesars Entertainment,2023-01,0.6833788461538461,0.47031914333698244,52,high,False
Caesars Entertainment,2023-02,-0.010649999999999988,0.004951462678735404,22,medium,True
Caesars Entertainment,2023-03,0.2677413793103448,0.09634620239808665,29,medium,False
Caesars Entertainment,2023-04,0.3939538461538461,0.21188593813593817,13,medium,False
Caesars Entertainment,2023-05,0.17304166666666668,0.14564221816672798,24,medium,False
Caesars Entertainment,2023-06,-0.05664615384615383,0.11564239742462398,13,medium,True
Caesars Entertainment,2023-07,0.3524666666666667,0.27466967960023514,18,medium,False
Caesars Entertainment,2023-08,0.25439375,0.22728678385416667,16,medium,False
Caesars Entertainment,2023-09,0.24221388888888887,0.15185811487894824,36,high,False
Caesars Entertainment,2023-10,0.05195000000000001,0.11743686868686871,22,medium,False
Caesars Entertainment,2023-11,0.1519181818181818,0.17026515151515148,11,medium,False
Caesars Entertainment,2023-12,0.28341666666666665,0.11997685185185188,12,medium,False
Caesars Entertainment,2024-01,0.2740882352941177,0.21867024587612824,17,medium,False
Caesars Entertainment,2024-02,0.27391,0.26007142857142856,10,medium,False
Caesars Entertainment,2024-03,0.2273578947368421,0.18775051761799882,19,medium,False
Caesars Entertainment,2024-04,0.4534857142857142,0.28732426303854874,14,medium,False
Caesars Entertainment,2024-05,0.04915263157894737,0.07718776106934003,19,medium,False
Caesars Entertainment,2024-06,0.32090869565217395,0.28805006587615284,23,medium,False
Caesars Entertainment,2024-07,0.23585238095238098,0.2720891690009337,21,medium,False
Caesars Entertainment,2024-08,0.35823333333333346,0.36573593073593075,15,medium,False
Caesars Entertainment,2024-09,0.41654285714285716,0.2786456400742115,14,medium,False
Caesars Entertainment,2024-10,0.25863846153846154,0.18973873348873346,13,medium,False
Caesars Entertainment,2024-11,0.3272722222222222,0.1104783950617284,18,medium,False
Caesars Entertainment,2024-12,0.21262941176470587,0.27098039215686276,17,medium,False
Caesars Entertainment,2025-01,0.28502000000000005,0.3463744588744589,10,medium,False
Caesars Entertainment,2025-02,0.3232333333333334,0.34078383036716375,12,medium,False
Caesars Entertainment,2025-03,0.018952857142857146,0.08434253958840358,70,high,False
Caesars Entertainment,2025-04,0.020103225806451634,0.01836683175793426,31,high,False
Caesars Entertainment,2025-05,0.22832413793103443,0.0765201103971388,29,medium,False
Caesars Entertainment,2025-06,0.27085333333333333,0.09619713128376946,30,high,False
Caesars Entertainment,2025-07,0.021948148148148168,0.028904398552351468,27,medium,False
Caesars Entertainment,2025-08,0.23405789473684213,0.09733138114711305,38,high,False
Caesars Entertainment,2025-09,0.27481875,0.1462258503709521,32,high,False
Caesars Entertainment,2025-10,0.2252186046511628,0.058080081206112584,43,high,False
Caesars Entertainment,2025-11,0.29011126760563377,0.09082216737586585,71,high,False
Caesars Entertainment,2025-12,0.5066276923076922,0.17372966766562964,65,high,False
Caesars Entertainment,2026-01,0.2508214285714286,0.06865440533716245,70,high,False
Caesars Entertainment,2026-02,0.27981199999999995,0.09618489534297414,100,high,False
Caesars Entertainment,2026-03,0.08081666666666666,0.07934259606134607,6,low,False
MGM Resorts,2022-01,0.3677041666666667,0.312824466224437,120,high,False
