# WARNING: All dates parsed from relative strings. 
# Monthly counts may have ±2 week error for recent reviews 
# and ±6 month error for reviews older than 1 year.
# Treat monthly trends as directionally correct, 
# not precise.
location_name,month,strip_region,room_count,monthly_review_count,avg_rating,normalized_traffic_index,smoothed_traffic_index,data_quality_flag
ARIA Resort & Casino,2025-08,South,4004.0,174,4.068965517241379,4.345654345654346,4.345654345654346,ok
ARIA Resort & Casino,2025-09,South,4004.0,195,4.17948717948718,4.870129870129871,4.607892107892108,ok
ARIA Resort & Casino,2025-10,South,4004.0,180,4.133333333333334,4.495504495504496,4.570429570429571,ok
ARIA Resort & Casino,2025-11,South,4004.0,194,4.15979381443299,4.845154845154845,4.736929736929738,ok
ARIA Resort & Casino,2025-12,South,4004.0,197,4.106598984771574,4.92007992007992,4.7535797535797535,ok
ARIA Resort & Casino,2026-01,South,4004.0,234,4.081196581196581,5.844155844155844,5.203130203130203,ok
ARIA Resort & Casino,2026-02,South,4004.0,264,4.003787878787879,6.593406593406594,5.785880785880786,ok
Bally's Las Vegas (Horseshoe),2025-03,South,2814.0,78,3.551282051282051,2.771855010660981,2.771855010660981,ok
Bally's Las Vegas (Horseshoe),2025-04,South,2814.0,135,3.525925925925926,4.797441364605544,3.7846481876332625,ok
Bally's Las Vegas (Horseshoe),2025-05,South,2814.0,150,3.4133333333333336,5.330490405117271,4.299928926794599,ok
Bally's Las Vegas (Horseshoe),2025-06,South,2814.0,135,3.651851851851852,4.797441364605544,4.975124378109452,ok
Bally's Las Vegas (Horseshoe),2025-07,South,2814.0,81,3.5555555555555554,2.878464818763326,4.33546552949538,ok
Bally's Las Vegas (Horseshoe),2025-08,South,2814.0,110,3.4727272727272727,3.9090262970859984,3.861644160151623,ok
Bally's Las Vegas (Horseshoe),2025-09,South,2814.0,116,3.913793103448276,4.12224591329069,3.6365790097133384,ok
Bally's Las Vegas (Horseshoe),2025-10,South,2814.0,105,3.933333333333333,3.731343283582089,3.9208718313195923,ok
